,,,,,Instrument Type ,Instrument Name ,Symbol ,Ser/Exp ,Strike Price ,Option Type ,Scrip Name ,Buy Qty ,Buy Lot ,Buy Weight ,Buy Val ,Buy Avg. ,Sell Qty ,Sell Lot ,Sell Weight ,Sell Val ,Sell Avg. ,Net Qty ,Net Lot ,Net Weight ,Net Val  ,Net Price ,Market Price ,MTMV Pos  ,MTM G/L  ,,,DPR Range ,Maturity Date ,Yield ,Total Value ,Total Quantity ,Total Lot ,Total Weight ,Brokerage ,Net MTM ,,Option Flag ,VAR % ,VAR Amount ,SM Category ,CF Avg Price ,Actual MTM P&L ,Unsettled Quantity ,ISIN Code ,Spot Price
,,,,,Options ,OPTSTK ,ADANIENT ,31AUG2023 ,2650,CE ,ADANIENT23AUG2650CE ,600,2, ,65730,109.55,600,2, ,66600,111, , , ,870, ,0.1,0,870,,,0.05 - 47.50 , , ,132330,1200,4, ,NA ,870,,OTM , , , , , , , ,9001300
,,,,,Futures ,FUTIDX ,BANKNIFTY ,31AUG2023 , , ,BANKNIFTY23AUGFUT ,240,16, ,10615728,44232.2,240,16, ,10615728,44232.2, , , ,0, ,43998.95,0,0,,,39809.00 - 48655.45 , , ,21231456,480,32, ,NA ,0,,NA , , , , , , , ,44052.8
,,,,,Futures ,FUTIDX ,BANKNIFTY ,26OCT2023 , , ,BANKNIFTY23OCTFUT ,1155,77, ,51548526,44630.76,1095,73, ,48931816.5,44686.59,60,4, ,-2616709.5,43611.82,44620.35,2677221,60511.5,,,40271.65 - 49220.90 , , ,100480342.5,2250,150, ,NA ,60511.5,,NA , , , , , , , ,44052.8
,,,,,Futures ,FUTIDX ,BANKNIFTY ,28SEP2023 , , ,BANKNIFTY23SEPFUT ,1170,78, ,52058788.5,44494.69,795,53, ,35378613,44501.4,375,25, ,-16680175.5,44480.47,44350,16633012.5,-47163,,,40051.30 - 48951.55 , , ,87437401.5,1965,131, ,NA ,-47163,,NA , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,31AUG2023 ,42700,PE ,BANKNIFTY23AUG42700PE ,1950,130, ,36832.5,18.89,1950,130, ,54244.5,27.82, , , ,17412, ,1.25,0,17412,,,0.05 - 25.45 , , ,91077,3900,260, ,NA ,17412,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,31AUG2023 ,44300,CE ,BANKNIFTY23AUG44300CE ,90,6, ,29434.5,327.05,90,6, ,31657.5,351.75, , , ,2223, ,7.8,0,2223,,,0.05 - 960.00 , , ,61092,180,12, ,NA ,2223,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,07SEP2023 ,41000,PE ,BANKNIFTY2390741000PE ,1500,100, ,9386.25,6.26, , , , , ,1500,100, ,-9386.25,6.26,6.65,9825,438.75,,,0.05 - 53.90 , , ,9386.25,1500,100, ,NA ,438.75,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,07SEP2023 ,45600,CE ,BANKNIFTY2390745600CE ,600,40, ,15960,26.6,960,64, ,26411.25,27.51,-360,-24, ,10451.25,29.03,17.1,-6012,4439.25,,,0.05 - 347.70 , , ,42371.25,1560,104, ,NA ,4439.25,,OTM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,31AUG2023 ,44000,CE ,BANKNIFTY23AUG44000CE ,75,5, ,27225,363,75,5, ,74973.75,999.65, , , ,47748.75, ,63,0,47748.75,,,0.05 - 1593.60 , , ,102198.75,150,10, ,NA ,47748.75,,ITM , , , , , , , ,44052.8
,,,,,Options ,OPTIDX ,BANKNIFTY ,07SEP2023 ,42600,PE ,BANKNIFTY2390742600PE ,750,50, ,10762.5,14.35,750,50, ,16125,21.5, , , ,5362.5, ,21.85,0,5362.5,,,0.05 - 293.90 , , ,26887.5,1500,100, ,NA ,5362.5,,OTM , , , , , , , ,44052.8
